,Isolate_1,Isolate_2,Isolate_3,Isolate_4,Colony Count,cfu/ml,value,Day,ID,Qtr,Treatment,Fat,Protein,Lactose,SNF,MUN,SCC,BHB,Acetone,sccact,logscc,subclinical,Maxsq,Minsq,Avgesq,Maxpoly,Minpoly,Avgepoly,cohort,day_within_cohort,merged_ID,bac_type,gram_sp,logcfu,sq_delta,poly_delta
0,Staphylococcus chromogenes,Streptococcus sp. Alpha-Hemolytic,,,Colony Count: 300 CFU/ml,300,,410,37206,LF,LT,1.88,3.51,4.81,9.18,12.5531,489,-0.26,0.02,489000,18.89947493961432,1,33.0,29.6,31.89,33.3,29.5,32.25,4,10,37206.0LTLF,Environmental,Positive,2.4785664955938436,3.3999999999999986,3.3999999999999986
1,Staphylococcus chromogenes,Streptococcus sp. Alpha-Hemolytic,,,Colony Count: 300 CFU/ml,300,,410,37206,LR,LT,1.76,3.59,4.13,8.5,10.39638,7265,-0.36,0.03,7265000,22.79253136718229,1,35.6,34.8,35.26,35.6,30.1,33.88,4,10,37206.0LTLR,Environmental,Positive,2.4785664955938436,0.8000000000000043,0.8000000000000043
2,Staphylococcus chromogenes,Streptococcus sp. Alpha-Hemolytic,,,Colony Count: 300 CFU/ml,300,,410,37206,RR,LT,1.85,3.47,4.82,9.15,13.47697,493,-0.19,0.03,493000,18.91122812104,1,34.8,33.0,34.09,34.8,30.5,33.13,4,10,37206.0LTRR,Environmental,Positive,2.4785664955938436,1.7999999999999972,1.7999999999999972
3,Staphylococcus chromogenes,Gram Positive Coccus,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,425,37206,LF,LT,2.7,4.4,4.44,9.62,17.74372,700,0.05,0.12,700000,19.41699539649442,1,33.9,30.3,31.9,34.7,31.7,33.3,4,25,37206.0LTLF,Environmental,Positive,4.000043427276863,3.599999999999998,3.599999999999998
4,Staphylococcus chromogenes,Gram Positive Coccus,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,425,37206,LR,LT,1.89,4.48,4.03,9.24,16.04166,5739,-0.24,0.1,5739000,22.45236794372936,1,34.7,32.3,33.5,34.7,32.3,33.3,4,25,37206.0LTLR,Environmental,Positive,4.000043427276863,2.4000000000000057,2.4000000000000057
5,Staphylococcus chromogenes,Gram Positive Coccus,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,425,37206,RR,LT,2.06,4.54,4.42,9.73,17.07311,863,-0.08,0.11,863000,19.71900103384104,1,34.8,32.6,33.6,35.1,32.7,33.8,4,25,37206.0LTRR,Environmental,Positive,4.000043427276863,2.1999999999999957,2.1999999999999957
6,Staphylococcus aureus,Corynebacterium xerosis,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,20,37253,LF,T ,2.46,3.65,4.9,9.43,12.43501,562,0.55,0.07,562000,19.10021060488301,1,33.0,27.3,30.56,35.0,26.9,32.66,2,0,37253.0T LF,Contagious,Positive,4.000043427276863,5.699999999999999,5.699999999999999
7,Staphylococcus aureus,Corynebacterium xerosis,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,20,37253,LR,T ,2.12,3.67,5.0,9.56,12.94631,107,0.52,0.07,107000,16.70725127106324,0,35.2,33.3,34.68,35.2,32.9,34.38,2,0,37253.0T LR,Contagious,Positive,4.000043427276863,1.9000000000000057,1.9000000000000057
8,Staphylococcus aureus,Corynebacterium xerosis,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,20,37253,RF,T ,1.68,3.69,4.82,9.39,11.74595,788,0.21,0.07,788000,19.58783610411847,1,33.3,32.1,32.87,33.6,29.9,32.43,2,0,37253.0T RF,Contagious,Positive,4.000043427276863,1.1999999999999957,1.1999999999999957
9,Staphylococcus aureus,Corynebacterium xerosis,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,20,37253,RR,T ,1.37,3.63,5.02,9.53,12.3492,21,0.29,0.06,21000,14.35810170744085,0,34.7,32.3,33.8,34.9,29.9,33.48,2,0,37253.0T RR,Contagious,Positive,4.000043427276863,2.4000000000000057,2.4000000000000057
10,Corynebacterium bovis,,,,Colony Count: 200 CFU/ml,200,,310,60261,LF,C,0.51,3.44,4.61,8.93,15.6066,49,0.15,0.02,49000,15.5804941287773,0,36.3,35.7,36.0,36.3,33.8,35.05,3,10,60261.0CLF,Contagious,Positive,2.303196057420489,0.5999999999999943,0.5999999999999943
11,Corynebacterium bovis,,,,Colony Count: 200 CFU/ml,200,,310,60261,LR,C,1.88,3.14,4.61,8.64,14.34918,154,0.72,0.05,154000,17.23257082535699,0,34.3,33.7,33.97,34.9,32.9,34.18,3,10,60261.0CLR,Contagious,Positive,2.303196057420489,0.5999999999999943,0.5999999999999943
12,Corynebacterium bovis,,,,Colony Count: 200 CFU/ml,200,,310,60261,RF,C,2.08,3.21,4.8,8.92,14.34812,141,0.84,0.06,141000,17.10533563706088,0,33.9,33.6,33.77,34.5,32.9,33.64,3,10,60261.0CRF,Contagious,Positive,2.303196057420489,0.29999999999999716,0.29999999999999716
13,Corynebacterium bovis,,,,Colony Count: 200 CFU/ml,200,,310,60261,RR,C,1.62,3.18,4.63,8.7,14.36615,161,0.64,0.05,161000,17.2967011627767,0,34.6,34.0,34.33,34.9,32.6,34.26,3,10,60261.0CRR,Contagious,Positive,2.303196057420489,0.6000000000000014,0.6000000000000014
14,Streptococcus uberis,,,,"Colony Count: < 10,000 colony forming units/mL.",10000,,20,60302,LF,C,1.51,3.4,4.39,8.63,10.20269,210,0.39,0.04,210000,17.68002980232821,0,34.1,33.1,33.49,34.1,29.3,33.07,2,0,60302.0CLF,Environmental,Positive,4.000043427276863,1.0,1.0
15,Streptococcus uberis,,,,"Colony Count: < 10,000 colony forming units/mL.",10000,,20,60302,LR,C,1.03,3.26,2.31,6.19,16.32587,8795,-0.2,-0.14,8795000,23.06825214702141,1,32.7,31.5,32.1,32.9,29.2,31.92,2,0,60302.0CLR,Environmental,Positive,4.000043427276863,1.2000000000000028,1.2000000000000028
16,Streptococcus uberis,,,,"Colony Count: < 10,000 colony forming units/mL.",10000,,20,60302,RF,C,0.82,3.54,4.55,8.94,10.69002,216,0.21,0.03,216000,17.72067178682556,0,33.6,32.4,32.92,33.6,26.5,32.2,2,0,60302.0CRF,Environmental,Positive,4.000043427276863,1.2000000000000028,1.2000000000000028
17,Streptococcus uberis,,,,"Colony Count: < 10,000 colony forming units/mL.",10000,,20,60302,RR,C,1.09,3.49,4.26,8.58,10.73723,195,0.21,0.01,195000,17.5731145984117,0,33.9,32.3,33.3,34.0,32.1,33.1,2,0,60302.0CRR,Environmental,Positive,4.000043427276863,1.6000000000000014,1.6000000000000014
18,Staphylococcus aureus,Staphylococcus chromogenes,,,Colony Count: 3200 colony forming units/mL.,3200,,225,60302,LF,C,1.12,3.15,3.99,7.96,5.05947,2624,0.14,-0.01,2624000,21.32333628928017,1,34.9,33.6,34.5,34.9,32.4,34.1,2,25,60302.0CLF,Contagious,Positive,3.5052856741441323,1.2999999999999972,1.2999999999999972
