Algorithm,Features Used,Best Parameters,Accuracy (±SE),Precision (±SE),Recall (±SE),F1 Score (±SE),ROC-AUC (±SE),Specificity (±SE)
RandomForestClassifier,Milk_features,"{'max_depth': 10, 'n_estimators': 150}",0.88 ± 0.01,0.88 ± 0.01,0.88 ± 0.01,0.87 ± 0.01,0.90 ± 0.02,0.95 ± 0.03
RandomForestClassifier,Max_deviation,"{'max_depth': None, 'n_estimators': 50}",0.82 ± 0.00,0.67 ± 0.01,0.82 ± 0.00,0.74 ± 0.00,0.43 ± 0.06,1.00 ± 0.00
RandomForestClassifier,Min_deviation,"{'max_depth': None, 'n_estimators': 100}",0.80 ± 0.01,0.70 ± 0.03,0.80 ± 0.01,0.74 ± 0.01,0.51 ± 0.06,0.97 ± 0.02
RandomForestClassifier,Max_min_deviation,"{'max_depth': None, 'n_estimators': 50}",0.82 ± 0.00,0.67 ± 0.01,0.82 ± 0.00,0.74 ± 0.00,0.43 ± 0.06,1.00 ± 0.00
RandomForestClassifier,Average_deviation,"{'max_depth': 10, 'n_estimators': 200}",0.77 ± 0.03,0.71 ± 0.03,0.77 ± 0.03,0.73 ± 0.02,0.54 ± 0.07,0.92 ± 0.03
RandomForestClassifier,Combo_max_dev,"{'max_depth': None, 'n_estimators': 200}",0.87 ± 0.01,0.87 ± 0.02,0.87 ± 0.01,0.86 ± 0.01,0.90 ± 0.02,0.96 ± 0.03
RandomForestClassifier,Combo_min_dev,"{'max_depth': None, 'n_estimators': 200}",0.87 ± 0.01,0.86 ± 0.01,0.87 ± 0.01,0.86 ± 0.01,0.90 ± 0.03,0.95 ± 0.02
RandomForestClassifier,combo_avge_dev,"{'max_depth': None, 'n_estimators': 150}",0.88 ± 0.02,0.88 ± 0.02,0.88 ± 0.02,0.87 ± 0.02,0.91 ± 0.02,0.96 ± 0.03
RandomForestClassifier,Temp_features,"{'max_depth': 10, 'n_estimators': 200}",0.80 ± 0.01,0.67 ± 0.01,0.80 ± 0.01,0.73 ± 0.01,0.50 ± 0.05,0.97 ± 0.01
LogisticRegression,Milk_features,"{'C': 100, 'solver': 'liblinear'}",0.88 ± 0.02,0.87 ± 0.02,0.88 ± 0.02,0.87 ± 0.01,0.90 ± 0.01,0.96 ± 0.02
LogisticRegression,Max_deviation,"{'C': 0.1, 'solver': 'lbfgs'}",0.82 ± 0.00,0.67 ± 0.01,0.82 ± 0.00,0.74 ± 0.00,0.47 ± 0.02,1.00 ± 0.00
LogisticRegression,Min_deviation,"{'C': 0.1, 'solver': 'lbfgs'}",0.82 ± 0.00,0.67 ± 0.01,0.82 ± 0.00,0.74 ± 0.00,0.50 ± 0.05,1.00 ± 0.00
LogisticRegression,Max_min_deviation,"{'C': 0.1, 'solver': 'lbfgs'}",0.82 ± 0.00,0.67 ± 0.01,0.82 ± 0.00,0.74 ± 0.00,0.47 ± 0.02,1.00 ± 0.00
